HomeTeam,AwayTeam,HG,AG
Man United,Leicester,2,1
Bournemouth,Cardiff,2,0
Fulham,Crystal Palace,0,2
Huddersfield,Chelsea,0,3
Newcastle,Tottenham,1,2
Watford,Brighton,2,0
Wolves,Everton,2,2
Arsenal,Man City,0,2
Liverpool,West Ham,4,0
Southampton,Burnley,0,0
Cardiff,Newcastle,0,0
Chelsea,Arsenal,3,2
Everton,Southampton,2,1
Leicester,Wolves,2,0
Tottenham,Fulham,3,1
West Ham,Bournemouth,1,2
Brighton,Man United,3,2
Burnley,Watford,1,3
Man City,Huddersfield,6,1
Crystal Palace,Liverpool,0,2
Arsenal,West Ham,3,1
Bournemouth,Everton,2,2
Huddersfield,Cardiff,0,0
Liverpool,Brighton,1,0
Southampton,Leicester,1,2
Wolves,Man City,1,1
Fulham,Burnley,4,2
Newcastle,Chelsea,1,2
Watford,Crystal Palace,2,1
Man United,Tottenham,0,3
Brighton,Fulham,2,2
Chelsea,Bournemouth,2,0
Crystal Palace,Southampton,0,2
Everton,Huddersfield,1,1
Leicester,Liverpool,1,2
Man City,Newcastle,2,1
West Ham,Wolves,0,1
Burnley,Man United,0,2
Cardiff,Arsenal,2,3
Watford,Tottenham,2,1
Bournemouth,Leicester,4,2
Chelsea,Cardiff,4,1
Huddersfield,Crystal Palace,0,1
Man City,Fulham,3,0
Newcastle,Arsenal,1,2
Tottenham,Liverpool,1,2
Watford,Man United,1,2
Everton,West Ham,1,3
Wolves,Burnley,1,0
Southampton,Brighton,2,2
Brighton,Tottenham,1,2
Burnley,Bournemouth,4,0
Cardiff,Man City,0,5
Crystal Palace,Newcastle,0,0
Fulham,Watford,1,1
Leicester,Huddersfield,3,1
Liverpool,Southampton,3,0
Man United,Wolves,1,1
Arsenal,Everton,2,0
West Ham,Chelsea,0,0
Arsenal,Watford,2,0
Chelsea,Liverpool,1,1
Everton,Fulham,3,0
Huddersfield,Tottenham,0,2
Man City,Brighton,2,0
Newcastle,Leicester,0,2
West Ham,Man United,3,1
Wolves,Southampton,2,0
Cardiff,Burnley,1,2
Bournemouth,Crystal Palace,2,1
Brighton,West Ham,1,0
Burnley,Huddersfield,1,1
Crystal Palace,Wolves,0,1
Leicester,Everton,1,2
Man United,Newcastle,3,2
Tottenham,Cardiff,1,0
Watford,Bournemouth,0,4
Fulham,Arsenal,1,5
Liverpool,Man City,0,0
Southampton,Chelsea,0,3
Bournemouth,Southampton,0,0
Cardiff,Fulham,4,2
Chelsea,Man United,2,2
Huddersfield,Liverpool,0,1
Man City,Burnley,5,0
Newcastle,Brighton,0,1
West Ham,Tottenham,0,1
Wolves,Watford,0,2
Everton,Crystal Palace,2,0
Arsenal,Leicester,3,1
Brighton,Wolves,1,0
Fulham,Bournemouth,0,3
Leicester,West Ham,1,1
Liverpool,Cardiff,4,1
Southampton,Newcastle,0,0
Watford,Huddersfield,3,0
Burnley,Chelsea,0,4
Crystal Palace,Arsenal,2,2
Man United,Everton,2,1
Tottenham,Man City,0,1
Arsenal,Liverpool,1,1
Bournemouth,Man United,1,2
Cardiff,Leicester,0,1
Everton,Brighton,3,1
Newcastle,Watford,1,0
West Ham,Burnley,4,2
Wolves,Tottenham,2,3
Chelsea,Crystal Palace,3,1
Man City,Southampton,6,1
Huddersfield,Fulham,1,0
Cardiff,Brighton,2,1
Crystal Palace,Tottenham,0,1
Huddersfield,West Ham,1,1
Leicester,Burnley,0,0
Newcastle,Bournemouth,2,1
Southampton,Watford,1,1
Arsenal,Wolves,1,1
Chelsea,Everton,0,0
Liverpool,Fulham,2,0
Man City,Man United,3,1
Brighton,Leicester,1,1
Everton,Cardiff,1,0
Fulham,Southampton,3,2
Man United,Crystal Palace,0,0
Tottenham,Chelsea,3,1
Watford,Liverpool,0,3
West Ham,Man City,0,4
Bournemouth,Arsenal,1,2
Wolves,Huddersfield,0,2
Burnley,Newcastle,1,2
Cardiff,Wolves,2,1
Crystal Palace,Burnley,2,0
Huddersfield,Brighton,1,2
Leicester,Watford,2,0
Man City,Bournemouth,3,1
Newcastle,West Ham,0,3
Southampton,Man United,2,2
Arsenal,Tottenham,4,2
Chelsea,Fulham,2,0
Liverpool,Everton,1,0
Bournemouth,Huddersfield,2,1
Brighton,Crystal Palace,3,1
Watford,Man City,1,2
West Ham,Cardiff,3,1
Burnley,Liverpool,1,3
Everton,Newcastle,1,1
Fulham,Leicester,1,1
Man United,Arsenal,2,2
Tottenham,Southampton,3,1
Wolves,Chelsea,2,1
Arsenal,Huddersfield,1,0
Bournemouth,Liverpool,0,4
Burnley,Brighton,1,0
Cardiff,Southampton,1,0
Chelsea,Man City,2,0
Leicester,Tottenham,0,2
Man United,Fulham,4,1
West Ham,Crystal Palace,3,2
Newcastle,Wolves,1,2
Everton,Watford,2,2
Crystal Palace,Leicester,1,0
Fulham,West Ham,0,2
Huddersfield,Newcastle,0,1
Man City,Everton,3,1
Tottenham,Burnley,1,0
Watford,Cardiff,3,2
Wolves,Bournemouth,2,0
Brighton,Chelsea,1,2
Liverpool,Man United,3,1
Southampton,Arsenal,3,2
